DATE,DGS5
2012-08-06,0.65
2012-08-07,0.71
2012-08-08,0.73
2012-08-09,0.74
2012-08-10,0.71
2012-08-13,0.71
2012-08-14,0.75
2012-08-15,0.80
2012-08-16,0.83
2012-08-17,0.81
2012-08-20,0.80
2012-08-21,0.80
2012-08-22,0.71
2012-08-23,0.71
2012-08-24,0.72
2012-08-27,0.70
2012-08-28,0.69
2012-08-29,0.69
2012-08-30,0.66
2012-08-31,0.59
2012-09-03,.
2012-09-04,0.62
2012-09-05,0.62
2012-09-06,0.68
2012-09-07,0.64
2012-09-10,0.66
2012-09-11,0.67
2012-09-12,0.70
2012-09-13,0.65
2012-09-14,0.72
2012-09-17,0.73
2012-09-18,0.71
2012-09-19,0.70
2012-09-20,0.70
2012-09-21,0.68
2012-09-24,0.68
2012-09-25,0.66
2012-09-26,0.63
2012-09-27,0.64
2012-09-28,0.62
2012-10-01,0.62
2012-10-02,0.61
2012-10-03,0.61
2012-10-04,0.63
2012-10-05,0.67
2012-10-08,.
2012-10-09,0.67
2012-10-10,0.66
2012-10-11,0.67
2012-10-12,0.67
2012-10-15,0.67
2012-10-16,0.70
2012-10-17,0.78
2012-10-18,0.79
2012-10-19,0.77
2012-10-22,0.79
2012-10-23,0.77
2012-10-24,0.76
2012-10-25,0.82
2012-10-26,0.76
2012-10-29,0.74
2012-10-30,.
2012-10-31,0.72
2012-11-01,0.73
2012-11-02,0.73
2012-11-05,0.70
2012-11-06,0.75
2012-11-07,0.67
2012-11-08,0.65
2012-11-09,0.65
2012-11-12,.
2012-11-13,0.63
2012-11-14,0.63
2012-11-15,0.62
2012-11-16,0.62
2012-11-19,0.64
2012-11-20,0.67
2012-11-21,0.69
2012-11-22,.
2012-11-23,0.70
2012-11-26,0.68
2012-11-27,0.66
2012-11-28,0.64
2012-11-29,0.63
2012-11-30,0.61
2012-12-03,0.63
2012-12-04,0.63
2012-12-05,0.61
2012-12-06,0.60
2012-12-07,0.63
2012-12-10,0.62
2012-12-11,0.64
2012-12-12,0.66
2012-12-13,0.70
2012-12-14,0.70
2012-12-17,0.74
2012-12-18,0.78
2012-12-19,0.77
2012-12-20,0.77
2012-12-21,0.75
2012-12-24,0.77
2012-12-25,.
2012-12-26,0.76
2012-12-27,0.72
2012-12-28,0.72
2012-12-31,0.72
2013-01-01,.
2013-01-02,0.76
2013-01-03,0.81
2013-01-04,0.82
2013-01-07,0.82
2013-01-08,0.79
2013-01-09,0.77
2013-01-10,0.80
2013-01-11,0.78
2013-01-14,0.78
2013-01-15,0.75
2013-01-16,0.75
2013-01-17,0.79
2013-01-18,0.77
2013-01-21,.
2013-01-22,0.76
2013-01-23,0.76
2013-01-24,0.78
2013-01-25,0.87
2013-01-28,0.89
2013-01-29,0.90
2013-01-30,0.88
2013-01-31,0.88
2013-02-01,0.88
2013-02-04,0.85
2013-02-05,0.88
2013-02-06,0.84
2013-02-07,0.83
2013-02-08,0.84
2013-02-11,0.85
2013-02-12,0.88
2013-02-13,0.92
2013-02-14,0.86
2013-02-15,0.87
2013-02-18,.
2013-02-19,0.89
2013-02-20,0.88
2013-02-21,0.86
2013-02-22,0.84
2013-02-25,0.78
2013-02-26,0.78
2013-02-27,0.78
2013-02-28,0.77
2013-03-01,0.75
2013-03-04,0.76
2013-03-05,0.77
2013-03-06,0.81
2013-03-07,0.85
2013-03-08,0.90
2013-03-11,0.90
2013-03-12,0.88
2013-03-13,0.89
2013-03-14,0.88
2013-03-15,0.84
2013-03-18,0.81
2013-03-19,0.79
2013-03-20,0.81
2013-03-21,0.81
2013-03-22,0.80
2013-03-25,0.80
2013-03-26,0.79
2013-03-27,0.76
2013-03-28,0.77
2013-03-29,.
2013-04-01,0.76
2013-04-02,0.78
2013-04-03,0.73
2013-04-04,0.69
2013-04-05,0.68
2013-04-08,0.71
2013-04-09,0.70
2013-04-10,0.74
2013-04-11,0.74
2013-04-12,0.70
2013-04-15,0.69
2013-04-16,0.71
2013-04-17,0.71
2013-04-18,0.71
2013-04-19,0.72
2013-04-22,0.70
2013-04-23,0.71
2013-04-24,0.70
2013-04-25,0.71
2013-04-26,0.68
2013-04-29,0.68
2013-04-30,0.68
2013-05-01,0.65
2013-05-02,0.65
2013-05-03,0.73
2013-05-06,0.74
2013-05-07,0.75
2013-05-08,0.75
2013-05-09,0.75
2013-05-10,0.82
2013-05-13,0.83
2013-05-14,0.85
2013-05-15,0.84
2013-05-16,0.79
2013-05-17,0.84
2013-05-20,0.85
2013-05-21,0.84
2013-05-22,0.91
2013-05-23,0.91
2013-05-24,0.90
2013-05-27,.
2013-05-28,1.02
2013-05-29,1.02
2013-05-30,1.01
2013-05-31,1.05
2013-06-03,1.03
2013-06-04,1.05
2013-06-05,1.02
2013-06-06,1.01
2013-06-07,1.10
2013-06-10,1.13
2013-06-11,1.12
2013-06-12,1.15
2013-06-13,1.11
2013-06-14,1.04
2013-06-17,1.06
2013-06-18,1.07
2013-06-19,1.24
2013-06-20,1.31
2013-06-21,1.42
2013-06-24,1.48
2013-06-25,1.49
2013-06-26,1.45
2013-06-27,1.38
2013-06-28,1.41
2013-07-01,1.39
2013-07-02,1.38
2013-07-03,1.42
2013-07-04,.
2013-07-05,1.60
2013-07-08,1.51
2013-07-09,1.50
2013-07-10,1.54
2013-07-11,1.40
2013-07-12,1.43
2013-07-15,1.40
2013-07-16,1.38
2013-07-17,1.33
2013-07-18,1.35
2013-07-19,1.31
2013-07-22,1.32
2013-07-23,1.33
2013-07-24,1.40
2013-07-25,1.38
2013-07-26,1.36
2013-07-29,1.37
2013-07-30,1.39
2013-07-31,1.38
2013-08-01,1.49
2013-08-02,1.36
2013-08-05,1.39
2013-08-06,1.39
2013-08-07,1.38
2013-08-08,1.36
2013-08-09,1.36
2013-08-12,1.39
2013-08-13,1.49
2013-08-14,1.48
