DATE,DGS7
2012-08-06,1.05
2012-08-07,1.13
2012-08-08,1.14
2012-08-09,1.15
2012-08-10,1.11
2012-08-13,1.12
2012-08-14,1.18
2012-08-15,1.25
2012-08-16,1.28
2012-08-17,1.27
2012-08-20,1.26
2012-08-21,1.25
2012-08-22,1.16
2012-08-23,1.13
2012-08-24,1.14
2012-08-27,1.11
2012-08-28,1.10
2012-08-29,1.11
2012-08-30,1.08
2012-08-31,1.01
2012-09-03,.
2012-09-04,1.03
2012-09-05,1.04
2012-09-06,1.12
2012-09-07,1.09
2012-09-10,1.10
2012-09-11,1.12
2012-09-12,1.17
2012-09-13,1.12
2012-09-14,1.23
2012-09-17,1.22
2012-09-18,1.19
2012-09-19,1.18
2012-09-20,1.18
2012-09-21,1.14
2012-09-24,1.12
2012-09-25,1.08
2012-09-26,1.03
2012-09-27,1.05
2012-09-28,1.04
2012-10-01,1.04
2012-10-02,1.03
2012-10-03,1.02
2012-10-04,1.07
2012-10-05,1.12
2012-10-08,.
2012-10-09,1.11
2012-10-10,1.09
2012-10-11,1.09
2012-10-12,1.09
2012-10-15,1.09
2012-10-16,1.15
2012-10-17,1.24
2012-10-18,1.26
2012-10-19,1.21
2012-10-22,1.25
2012-10-23,1.21
2012-10-24,1.21
2012-10-25,1.28
2012-10-26,1.20
2012-10-29,1.16
2012-10-30,.
2012-10-31,1.14
2012-11-01,1.16
2012-11-02,1.16
2012-11-05,1.13
2012-11-06,1.19
2012-11-07,1.08
2012-11-08,1.04
2012-11-09,1.04
2012-11-12,.
2012-11-13,1.02
2012-11-14,1.03
2012-11-15,1.02
2012-11-16,1.01
2012-11-19,1.04
2012-11-20,1.09
2012-11-21,1.11
2012-11-22,.
2012-11-23,1.12
2012-11-26,1.09
2012-11-27,1.07
2012-11-28,1.05
2012-11-29,1.04
2012-11-30,1.04
2012-12-03,1.05
2012-12-04,1.04
2012-12-05,1.02
2012-12-06,1.00
2012-12-07,1.04
2012-12-10,1.04
2012-12-11,1.06
2012-12-12,1.11
2012-12-13,1.15
2012-12-14,1.15
2012-12-17,1.20
2012-12-18,1.25
2012-12-19,1.24
2012-12-20,1.24
2012-12-21,1.20
2012-12-24,1.22
2012-12-25,.
2012-12-26,1.20
2012-12-27,1.15
2012-12-28,1.15
2012-12-31,1.18
2013-01-01,.
2013-01-02,1.25
2013-01-03,1.31
2013-01-04,1.32
2013-01-07,1.31
2013-01-08,1.28
2013-01-09,1.27
2013-01-10,1.30
2013-01-11,1.28
2013-01-14,1.27
2013-01-15,1.24
2013-01-16,1.23
2013-01-17,1.29
2013-01-18,1.26
2013-01-21,.
2013-01-22,1.25
2013-01-23,1.24
2013-01-24,1.26
2013-01-25,1.36
2013-01-28,1.38
2013-01-29,1.40
2013-01-30,1.39
2013-01-31,1.38
2013-02-01,1.40
2013-02-04,1.36
2013-02-05,1.39
2013-02-06,1.35
2013-02-07,1.34
2013-02-08,1.34
2013-02-11,1.35
2013-02-12,1.38
2013-02-13,1.43
2013-02-14,1.37
2013-02-15,1.38
2013-02-18,.
2013-02-19,1.41
2013-02-20,1.38
2013-02-21,1.36
2013-02-22,1.34
2013-02-25,1.25
2013-02-26,1.25
2013-02-27,1.28
2013-02-28,1.26
2013-03-01,1.23
2013-03-04,1.25
2013-03-05,1.27
2013-03-06,1.31
2013-03-07,1.36
2013-03-08,1.43
2013-03-11,1.43
2013-03-12,1.40
2013-03-13,1.41
2013-03-14,1.40
2013-03-15,1.35
2013-03-18,1.31
2013-03-19,1.28
2013-03-20,1.32
2013-03-21,1.30
2013-03-22,1.29
2013-03-25,1.28
2013-03-26,1.27
2013-03-27,1.22
2013-03-28,1.24
2013-03-29,.
2013-04-01,1.23
2013-04-02,1.26
2013-04-03,1.20
2013-04-04,1.15
2013-04-05,1.12
2013-04-08,1.15
2013-04-09,1.16
2013-04-10,1.21
2013-04-11,1.20
2013-04-12,1.14
2013-04-15,1.12
2013-04-16,1.15
2013-04-17,1.13
2013-04-18,1.13
2013-04-19,1.14
2013-04-22,1.13
2013-04-23,1.14
2013-04-24,1.13
2013-04-25,1.15
2013-04-26,1.10
2013-04-29,1.10
2013-04-30,1.11
2013-05-01,1.07
2013-05-02,1.07
2013-05-03,1.17
2013-05-06,1.19
2013-05-07,1.21
2013-05-08,1.20
2013-05-09,1.20
2013-05-10,1.28
2013-05-13,1.30
2013-05-14,1.33
2013-05-15,1.32
2013-05-16,1.25
2013-05-17,1.32
2013-05-20,1.33
2013-05-21,1.31
2013-05-22,1.40
2013-05-23,1.40
2013-05-24,1.39
2013-05-27,.
2013-05-28,1.53
2013-05-29,1.51
2013-05-30,1.51
2013-05-31,1.55
2013-06-03,1.53
2013-06-04,1.55
2013-06-05,1.52
2013-06-06,1.49
2013-06-07,1.59
2013-06-10,1.62
2013-06-11,1.61
2013-06-12,1.64
2013-06-13,1.60
2013-06-14,1.53
2013-06-17,1.57
2013-06-18,1.58
2013-06-19,1.76
2013-06-20,1.84
2013-06-21,1.95
2013-06-24,2.02
2013-06-25,2.03
2013-06-26,1.98
2013-06-27,1.91
2013-06-28,1.96
2013-07-01,1.93
2013-07-02,1.92
2013-07-03,1.97
2013-07-04,.
2013-07-05,2.19
2013-07-08,2.11
2013-07-09,2.08
2013-07-10,2.12
2013-07-11,1.99
2013-07-12,2.00
2013-07-15,1.97
2013-07-16,1.95
2013-07-17,1.91
2013-07-18,1.95
2013-07-19,1.90
2013-07-22,1.90
2013-07-23,1.92
2013-07-24,2.00
2013-07-25,2.00
2013-07-26,1.98
2013-07-29,2.00
2013-07-30,2.02
2013-07-31,2.00
2013-08-01,2.15
2013-08-02,2.01
2013-08-05,2.04
2013-08-06,2.04
2013-08-07,2.00
2013-08-08,1.98
2013-08-09,1.98
2013-08-12,2.01
2013-08-13,2.13
2013-08-14,2.12
2013-08-15,2.18
2013-08-16,2.25
2013-08-19,2.29
2013-08-20,2.22
2013-08-21,2.30
2013-08-22,2.34
2013-08-23,2.27
2013-08-26,2.23
2013-08-27,2.15
2013-08-28,2.22
2013-08-29,2.20
2013-08-30,2.24
2013-09-02,.
2013-09-03,2.31
2013-09-04,2.36
2013-09-05,2.45
2013-09-06,2.38
2013-09-09,2.34
2013-09-10,2.40
2013-09-11,2.34
2013-09-12,2.34
2013-09-13,2.32
2013-09-16,2.27
2013-09-17,2.26
2013-09-18,2.05
2013-09-19,2.13
2013-09-20,2.13
2013-09-23,2.10
2013-09-24,2.05
2013-09-25,2.01
2013-09-26,2.05
2013-09-27,2.02
2013-09-30,2.02
2013-10-01,2.04
2013-10-02,2.01
2013-10-03,1.99
2013-10-04,2.05
2013-10-07,2.03
2013-10-08,2.05
2013-10-09,2.06
2013-10-10,2.09
2013-10-11,2.07
2013-10-14,.
2013-10-15,2.11
2013-10-16,2.06
2013-10-17,1.98
2013-10-18,1.98
2013-10-21,2.01
2013-10-22,1.92
2013-10-23,1.90
2013-10-24,1.92
2013-10-25,1.90
2013-10-28,1.91
2013-10-29,1.90
2013-10-30,1.93
2013-10-31,1.95
2013-11-01,2.03
2013-11-04,2.01
2013-11-05,2.06
2013-11-06,2.02
2013-11-07,1.98
2013-11-08,2.12
2013-11-11,.
2013-11-12,2.16
2013-11-13,2.10
2013-11-14,2.04
2013-11-15,2.06
2013-11-18,2.02
2013-11-19,2.06
2013-11-20,2.13
2013-11-21,2.12
2013-11-22,2.10
2013-11-25,2.08
2013-11-26,2.05
2013-11-27,2.08
2013-11-28,.
2013-11-29,2.10
2013-12-02,2.16
2013-12-03,2.13
2013-12-04,2.19
2013-12-05,2.23
2013-12-06,2.23
2013-12-09,2.23
2013-12-10,2.17
2013-12-11,2.21
2013-12-12,2.26
2013-12-13,2.25
2013-12-16,2.26
2013-12-17,2.22
2013-12-18,2.26
2013-12-19,2.35
2013-12-20,2.33
2013-12-23,2.37
2013-12-24,2.43
2013-12-25,.
2013-12-26,2.43
2013-12-27,2.44
2013-12-30,2.40
2013-12-31,2.45
2014-01-01,.
2014-01-02,2.41
2014-01-03,2.42
2014-01-06,2.38
2014-01-07,2.37
2014-01-08,2.44
2014-01-09,2.41
2014-01-10,2.29
2014-01-13,2.25
2014-01-14,2.30
2014-01-15,2.33
2014-01-16,2.30
2014-01-17,2.27
2014-01-20,.
2014-01-21,2.29
2014-01-22,2.34
2014-01-23,2.24
2014-01-24,2.20
2014-01-27,2.24
2014-01-28,2.22
2014-01-29,2.15
2014-01-30,2.19
2014-01-31,2.13
2014-02-03,2.07
2014-02-04,2.09
2014-02-05,2.14
2014-02-06,2.17
2014-02-07,2.13
2014-02-10,2.13
2014-02-11,2.19
2014-02-12,2.23
2014-02-13,2.16
